case_id	baseline_file	relapse_file
case_01	case_01_baseline.sra	case_01_relapse.sra
case_02	case_02_baseline.sra	case_02_relapse.sra
case_04	case_04_baseline.sra	case_04_relapse.sra
case_05	case_05_baseline.sra	case_05_relapse.sra
case_06	case_06_baseline.sra	case_06_relapse.sra
case_09	case_09_baseline.sra	case_09_relapse.sra
case_13	case_13_baseline.sra	case_13_relapse.sra
case_14	case_14_baseline.sra	case_14_relapse.sra
case_15	case_15_baseline.sra	case_15_relapse.sra
