probe_id	gene_symbol	gene_id	gene_title	mapping_status
201311_s_at	SH3BGRL	6451	SH3 domain binding glutamate rich protein like	single_symbol
201312_s_at	SH3BGRL	6451	SH3 domain binding glutamate rich protein like	single_symbol
201313_at	ENO2	2026	enolase 2	single_symbol
201314_at	STK25	10494	serine/threonine kinase 25	single_symbol
201315_x_at	IFITM2	10581	interferon induced transmembrane protein 2	single_symbol
201316_at	PSMA2	5683	proteasome subunit alpha 2	single_symbol
201317_s_at	PSMA2	5683	proteasome subunit alpha 2	single_symbol
201318_s_at	MYL12B///MYL12A	103910///10627	myosin light chain 12B///myosin light chain 12A	multiple_symbols
201319_at	MYL12A	10627	myosin light chain 12A	single_symbol
201320_at	SMARCC2	6601	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2	single_symbol
201321_s_at	SMARCC2	6601	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2	single_symbol
201322_at	ATP5B	506	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	single_symbol
201323_at	MIR6733///EBNA1BP2	102465439///10969	microRNA 6733///EBNA1 binding protein 2	multiple_symbols
201324_at	EMP1	2012	epithelial membrane protein 1	single_symbol
201325_s_at	EMP1	2012	epithelial membrane protein 1	single_symbol
201326_at	CCT6A	908	chaperonin containing TCP1 subunit 6A	single_symbol
201327_s_at	CCT6A	908	chaperonin containing TCP1 subunit 6A	single_symbol
201328_at	ETS2	2114	ETS proto-oncogene 2, transcription factor	single_symbol
201329_s_at	ETS2	2114	ETS proto-oncogene 2, transcription factor	single_symbol
201330_at	RARS	5917	arginyl-tRNA synthetase	single_symbol
201331_s_at	STAT6	6778	signal transducer and activator of transcription 6	single_symbol
201332_s_at	STAT6	6778	signal transducer and activator of transcription 6	single_symbol
201333_s_at	ARHGEF12	23365	Rho guanine nucleotide exchange factor 12	single_symbol
201334_s_at	ARHGEF12	23365	Rho guanine nucleotide exchange factor 12	single_symbol
201335_s_at	ARHGEF12	23365	Rho guanine nucleotide exchange factor 12	single_symbol
201336_at	VAMP3	9341	vesicle associated membrane protein 3	single_symbol
201337_s_at	VAMP3	9341	vesicle associated membrane protein 3	single_symbol
